id_unidad_instituto,id_implementacion,id_categoria,id_sexo,cantidad_alumnos_inscritos,cantidad_alumnos_certificados,grupo_tipo_unidad,grupo_delegacion,tipo_curso,cantidad_no_accesos
6871,370,146,2,1,0,MF,AS,Actualización,0
6871,373,146,2,1,0,MF,AS,Actualización,0
6871,440,146,2,1,0,MF,AS,Sin tipo asignado,0
6874,425,146,2,1,0,MF,TS,Sin tipo asignado,0
6874,425,153,2,1,1,MF,TS,Sin tipo asignado,0
6874,430,146,2,1,1,MF,TS,Sin tipo asignado,0
6874,431,146,1,1,0,MF,TS,Sin tipo asignado,0
6874,431,146,2,2,2,MF,TS,Sin tipo asignado,0
6874,434,89,2,1,0,MF,TS,Actualización,0
6874,438,89,2,1,0,MF,TS,Sin tipo asignado,0
6875,386,148,2,1,1,MF,AS,Sin tipo asignado,0
6878,370,148,2,1,0,MF,TL,Actualización,0
6878,427,148,2,1,1,MF,TL,Sin tipo asignado,0
6878,431,148,1,1,0,MF,TL,Sin tipo asignado,0
6878,455,146,1,1,0,MF,TL,Actualización,0
6885,377,146,2,2,1,MF,CS,Sin tipo asignado,0
6885,381,159,2,1,1,MF,CS,Sin tipo asignado,0
6885,386,146,1,1,1,MF,CS,Sin tipo asignado,0
6885,421,100,1,1,0,MF,CS,Sin tipo asignado,0
6885,433,146,2,1,1,MF,CS,Actualización,0
6885,438,146,1,1,1,MF,CS,Sin tipo asignado,0
6885,440,146,2,2,0,MF,CS,Sin tipo asignado,0
6885,443,146,1,2,0,MF,CS,Actualización,0
6885,444,146,2,2,2,MF,CS,Actualización,0
6885,446,146,1,3,3,MF,CS,Actualización,0
6885,447,146,2,1,1,MF,CS,Sin tipo asignado,0
6885,447,146,1,1,1,MF,CS,Sin tipo asignado,0
6886,369,153,2,1,1,MF,SL,Sin tipo asignado,0
6886,377,146,2,1,0,MF,SL,Sin tipo asignado,0
6886,412,174,2,1,1,MF,SL,Capacitación,0
6886,412,159,2,1,1,MF,SL,Capacitación,0
6886,425,146,2,1,1,MF,SL,Sin tipo asignado,0
6886,430,146,2,2,2,MF,SL,Sin tipo asignado,0
6886,431,89,2,1,1,MF,SL,Sin tipo asignado,0
6886,439,146,1,1,1,MF,SL,Sin tipo asignado,0
6886,440,146,2,1,1,MF,SL,Sin tipo asignado,0
6886,445,146,1,1,1,MF,SL,Actualización,0
6886,455,146,2,1,1,MF,SL,Actualización,0
6887,438,146,3,1,0,MF,CS,Sin tipo asignado,0
6887,439,146,2,1,1,MF,CS,Sin tipo asignado,0
6888,377,146,1,1,0,MF,VZS,Sin tipo asignado,0
6889,430,146,1,1,1,MF,CS,Sin tipo asignado,0
6891,369,148,2,1,1,MF,CS,Sin tipo asignado,0
6893,369,146,1,1,1,MF,CS,Sin tipo asignado,0
6893,370,148,1,1,0,MF,CS,Actualización,0
6893,386,146,2,1,1,MF,CS,Sin tipo asignado,0
6893,427,146,2,1,0,MF,CS,Sin tipo asignado,0
6893,433,148,1,1,1,MF,CS,Actualización,0
6893,447,146,1,1,1,MF,CS,Sin tipo asignado,0
6895,427,146,1,1,0,MF,CS,Sin tipo asignado,0
6897,369,148,2,1,0,MF,CS,Sin tipo asignado,0
6898,369,146,2,6,2,MF,YN,Sin tipo asignado,0
6898,382,146,1,1,0,MF,YN,Sin tipo asignado,0
6898,387,174,1,1,1,MF,YN,Sin tipo asignado,0
6898,427,146,2,1,1,MF,YN,Sin tipo asignado,0
6898,430,146,2,1,1,MF,YN,Sin tipo asignado,0
6898,431,146,2,1,1,MF,YN,Sin tipo asignado,0
6898,433,146,1,1,1,MF,YN,Actualización,0
6898,439,146,2,1,0,MF,YN,Sin tipo asignado,0
6898,443,146,1,1,0,MF,YN,Actualización,0
6898,447,146,1,1,0,MF,YN,Sin tipo asignado,0
6899,373,146,2,1,1,MF,BS,Actualización,0
6899,427,146,2,1,0,MF,BS,Sin tipo asignado,0
6899,431,146,1,1,1,MF,BS,Sin tipo asignado,0
6899,444,146,2,1,1,MF,BS,Actualización,0
6899,447,146,2,2,2,MF,BS,Sin tipo asignado,0
6900,433,146,1,1,0,MF,ZS,Actualización,0
6905,369,146,1,2,1,MF,CS,Sin tipo asignado,0
6905,369,146,2,1,1,MF,CS,Sin tipo asignado,0
6905,382,146,2,2,2,MF,CS,Sin tipo asignado,0
6905,410,153,2,1,0,MF,CS,Capacitación,0
6905,421,146,1,1,1,MF,CS,Sin tipo asignado,0
6905,434,148,2,1,1,MF,CS,Actualización,0
6905,444,146,1,1,1,MF,CS,Actualización,0
6905,444,146,2,2,2,MF,CS,Actualización,0
6905,447,146,2,2,1,MF,CS,Sin tipo asignado,0
6905,447,146,1,1,1,MF,CS,Sin tipo asignado,0
6905,455,146,1,1,1,MF,CS,Actualización,0
6906,373,146,2,1,0,MF,DFN,Actualización,0
6906,376,167,2,1,0,MF,DFN,Sin tipo asignado,0
6906,386,148,2,1,0,MF,DFN,Sin tipo asignado,0
6906,430,146,2,6,4,MF,DFN,Sin tipo asignado,0
6906,440,146,2,3,1,MF,DFN,Sin tipo asignado,0
6906,440,146,1,1,0,MF,DFN,Sin tipo asignado,0
6906,443,146,2,1,0,MF,DFN,Actualización,0
6906,444,146,1,2,1,MF,DFN,Actualización,0
6906,445,146,2,1,0,MF,DFN,Actualización,0
6908,369,146,1,2,2,MF,DFN,Sin tipo asignado,0
6908,383,165,2,1,0,MF,DFN,Sin tipo asignado,0
6908,386,146,1,1,1,MF,DFN,Sin tipo asignado,0
6908,425,146,2,1,1,MF,DFN,Sin tipo asignado,0
6908,425,146,1,2,1,MF,DFN,Sin tipo asignado,0
6908,432,148,1,1,1,MF,DFN,Actualización,0
6908,432,146,1,1,0,MF,DFN,Actualización,0
6908,438,146,2,1,1,MF,DFN,Sin tipo asignado,0
6908,439,146,2,1,1,MF,DFN,Sin tipo asignado,0
6908,440,148,2,2,2,MF,DFN,Sin tipo asignado,0
6908,440,148,1,1,1,MF,DFN,Sin tipo asignado,0
6908,440,146,2,1,1,MF,DFN,Sin tipo asignado,0
6908,443,146,1,1,0,MF,DFN,Actualización,0
6909,421,146,2,1,0,MF,CS,Sin tipo asignado,0
6910,369,153,2,1,1,MF,DFS,Sin tipo asignado,0
6910,373,146,2,1,1,MF,DFS,Actualización,0
6910,383,165,2,1,1,MF,DFS,Sin tipo asignado,0
