id_unidad_instituto,id_implementacion,id_categoria,id_sexo,cantidad_alumnos_inscritos,cantidad_alumnos_certificados,grupo_tipo_unidad,grupo_delegacion,tipo_curso,cantidad_no_accesos
6871,393,146,1,1,0,MF,AS,Actualización,0
6874,367,174,2,1,1,MF,TS,Sin tipo asignado,0
6879,409,148,2,1,0,MF,BS,Capacitación,0
6881,394,146,1,1,1,MF,BS,Formación,0
6886,394,146,2,1,0,MF,SL,Formación,0
6891,409,146,2,1,0,MF,CS,Capacitación,0
6893,457,146,1,1,0,MF,CS,Actualización,0
6898,395,146,2,1,1,MF,YN,Formación,0
6899,456,146,2,1,1,MF,BS,Actualización,0
6899,457,146,2,1,1,MF,BS,Actualización,0
6905,456,146,2,1,1,MF,CS,Actualización,0
6906,368,180,2,1,0,MF,DFN,Sin tipo asignado,0
6908,457,146,2,3,3,MF,DFN,Actualización,0
6910,394,146,2,1,1,MF,DFS,Formación,0
6910,457,146,2,1,0,MF,DFS,Actualización,0
6914,456,153,3,1,0,MF,SL,Actualización,0
6920,393,146,2,1,0,MF,SL,Actualización,0
6924,456,146,2,1,1,MF,SR,Actualización,0
6924,457,165,2,1,1,MF,SR,Actualización,0
6930,457,146,1,1,1,MF,SR,Actualización,0
6938,409,146,2,1,1,MF,YN,Capacitación,0
6948,457,146,1,1,1,MF,VZS,Actualización,0
6949,457,146,2,1,0,MF,BC,Actualización,0
6957,457,148,1,1,0,MF,CL,Actualización,0
6971,393,89,2,1,0,MF,BC,Actualización,0
6971,394,146,2,1,1,MF,BC,Formación,0
6971,457,165,2,1,1,MF,BC,Actualización,0
6971,457,146,1,1,1,MF,BC,Actualización,0
6987,393,146,2,2,0,MF,JC,Actualización,0
6989,457,159,2,1,1,MF,JC,Actualización,0
6991,393,146,2,1,0,MF,JC,Actualización,0
6991,457,146,2,2,2,MF,JC,Actualización,0
6996,393,146,2,1,1,MF,TL,Actualización,0
6996,456,146,2,1,1,MF,TL,Actualización,0
7009,456,146,2,1,1,MF,JC,Actualización,0
7015,394,153,2,1,1,MF,CH,Formación,0
7024,393,146,1,1,1,MF,VZS,Actualización,0
7036,409,146,1,2,0,MF,YN,Capacitación,0
7036,457,146,1,2,0,MF,YN,Actualización,0
7037,395,146,1,1,1,MF,JC,Formación,0
7039,409,146,2,1,0,MF,JC,Capacitación,0
7046,393,146,2,1,0,MF,ZS,Actualización,0
7048,409,146,2,1,1,MF,DFN,Capacitación,0
7048,457,146,1,2,2,MF,DFN,Actualización,0
7048,457,146,2,5,4,MF,DFN,Actualización,0
7048,457,148,2,1,1,MF,DFN,Actualización,0
7051,393,146,2,1,0,MF,JC,Actualización,0
7051,393,146,1,1,0,MF,JC,Actualización,0
7051,456,146,2,2,1,MF,JC,Actualización,0
7051,457,207,2,1,0,MF,JC,Actualización,0
7052,395,146,2,1,0,MF,ZS,Formación,0
7052,395,146,1,1,1,MF,ZS,Formación,0
7056,457,146,3,1,1,MF,DFN,Actualización,0
7062,393,146,2,2,2,MF,DFS,Actualización,0
7062,457,146,2,2,2,MF,DFS,Actualización,0
7064,457,146,2,1,1,MF,DFS,Actualización,0
7066,456,148,2,1,0,MF,DFS,Actualización,0
7066,457,146,1,1,0,MF,DFS,Actualización,0
7076,457,146,1,1,0,MF,SL,Actualización,0
7086,393,146,2,1,1,MF,TS,Actualización,0
7086,456,146,2,1,1,MF,TS,Actualización,0
7086,457,146,1,1,1,MF,TS,Actualización,0
7086,457,148,1,1,0,MF,TS,Actualización,0
7086,457,146,2,1,0,MF,TS,Actualización,0
7087,456,146,2,1,0,MF,CH,Actualización,0
7106,457,146,2,1,1,MF,VZS,Actualización,0
7122,395,146,1,1,1,MF,TC,Formación,0
