id_unidad_instituto,id_implementacion,id_categoria,id_sexo,cantidad_alumnos_inscritos,cantidad_alumnos_certificados,grupo_tipo_unidad,grupo_delegacion,tipo_curso,cantidad_no_accesos
9158,478,148,1,1,0,,BC,Sin tipo asignado,1
12893,478,148,1,4,0,,BC,Sin tipo asignado,3
12862,478,148,1,3,0,,BC,Sin tipo asignado,2
8021,478,148,1,3,1,HMF,CC,Sin tipo asignado,1
8022,478,148,1,8,3,HMF,CC,Sin tipo asignado,5
8022,478,148,2,5,1,HMF,CC,Sin tipo asignado,4
8022,478,148,3,1,0,HMF,CC,Sin tipo asignado,0
7571,478,148,2,1,0,MF,CC,Sin tipo asignado,1
8046,478,148,1,2,2,HMF,CL,Sin tipo asignado,0
8046,478,148,2,2,2,HMF,CL,Sin tipo asignado,0
8051,478,148,1,4,2,HMF,CL,Sin tipo asignado,0
8051,478,148,2,1,1,HMF,CL,Sin tipo asignado,0
8165,478,148,1,4,4,HP,CM,Sin tipo asignado,0
8165,478,148,2,1,1,HP,CM,Sin tipo asignado,0
8166,478,148,1,1,1,HP,CM,Sin tipo asignado,0
7732,478,148,2,1,0,MF,CM,Sin tipo asignado,0
7740,478,148,1,1,1,MF,CM,Sin tipo asignado,0
7778,478,148,1,1,1,MF,CM,Sin tipo asignado,0
8037,478,148,2,1,1,HMF,CS,Sin tipo asignado,0
8175,478,148,1,2,1,HP,CS,Sin tipo asignado,0
8175,478,148,2,1,1,HP,CS,Sin tipo asignado,0
7894,478,148,1,1,1,MF,CS,Sin tipo asignado,0
7894,478,148,2,1,1,MF,CS,Sin tipo asignado,0
7896,478,148,2,1,1,MF,CS,Sin tipo asignado,0
7897,478,148,1,2,2,MF,CS,Sin tipo asignado,0
8195,478,148,1,4,2,HP,CH,Sin tipo asignado,1
8197,478,148,1,2,1,HP,CH,Sin tipo asignado,0
8197,478,148,2,3,0,HP,CH,Sin tipo asignado,2
8127,478,148,1,3,2,HP,CH,Sin tipo asignado,0
8127,478,148,2,2,2,HP,CH,Sin tipo asignado,0
8115,478,148,1,3,3,HUMAA,CH,Sin tipo asignado,0
8115,478,148,2,2,2,HUMAA,CH,Sin tipo asignado,0
8015,478,148,1,1,1,HMF,CH,Sin tipo asignado,0
8015,478,148,2,2,2,HMF,CH,Sin tipo asignado,0
8017,478,148,1,3,1,HMF,CH,Sin tipo asignado,1
8019,478,148,1,4,3,HMF,CH,Sin tipo asignado,0
8019,478,148,2,1,1,HMF,CH,Sin tipo asignado,0
7015,478,148,1,1,0,MF,CH,Sin tipo asignado,1
7073,478,148,1,1,1,MF,CH,Sin tipo asignado,0
7087,478,148,1,1,1,MF,CH,Sin tipo asignado,0
7944,478,148,1,1,0,MF,CH,Sin tipo asignado,1
8153,478,148,1,1,1,HP,DG,Sin tipo asignado,0
8153,478,148,2,3,2,HP,DG,Sin tipo asignado,1
8155,478,148,1,1,1,HP,DG,Sin tipo asignado,0
8155,478,148,2,1,1,HP,DG,Sin tipo asignado,0
8027,478,148,1,2,2,HMF,DG,Sin tipo asignado,0
8027,478,148,2,2,2,HMF,DG,Sin tipo asignado,0
7668,478,148,1,1,1,MF,DG,Sin tipo asignado,0
7997,478,148,1,1,1,MF,DG,Sin tipo asignado,0
7997,478,148,2,3,3,MF,DG,Sin tipo asignado,0
8033,478,148,2,2,0,HMF,GT,Sin tipo asignado,0
8034,478,148,2,3,3,HMF,GT,Sin tipo asignado,0
8035,478,148,2,1,1,HMF,GT,Sin tipo asignado,0
7846,478,148,1,1,0,MF,GT,Sin tipo asignado,0
7846,478,148,2,1,1,MF,GT,Sin tipo asignado,0
7853,478,148,1,1,1,MF,GT,Sin tipo asignado,0
7856,478,148,1,1,1,MF,GT,Sin tipo asignado,0
7856,478,148,2,1,1,MF,GT,Sin tipo asignado,0
7857,478,148,2,2,2,MF,GT,Sin tipo asignado,0
7858,478,148,1,1,1,MF,GT,Sin tipo asignado,0
12449,478,148,2,1,1,,GT,Sin tipo asignado,0
8039,478,148,1,2,2,HMF,GR,Sin tipo asignado,0
8039,478,148,2,1,1,HMF,GR,Sin tipo asignado,0
8038,478,148,1,2,1,HMF,GR,Sin tipo asignado,0
7865,478,148,3,1,1,MF,GR,Sin tipo asignado,0
8042,478,148,1,1,0,HMF,HG,Sin tipo asignado,0
8044,478,148,2,1,1,HMF,HG,Sin tipo asignado,0
7874,478,148,1,1,1,MF,HG,Sin tipo asignado,0
7884,478,148,1,1,0,MF,HG,Sin tipo asignado,1
7885,478,148,1,1,0,MF,HG,Sin tipo asignado,1
7885,478,148,2,1,0,MF,HG,Sin tipo asignado,1
7975,478,148,2,1,1,MF,HG,Sin tipo asignado,0
8193,478,148,1,1,0,HP,JC,Sin tipo asignado,1
8187,478,148,1,1,0,HP,JC,Sin tipo asignado,0
8191,478,148,1,1,1,HP,JC,Sin tipo asignado,0
8191,478,148,2,1,0,HP,JC,Sin tipo asignado,1
8121,478,148,1,1,0,HP,JC,Sin tipo asignado,1
8121,478,148,2,1,0,HP,JC,Sin tipo asignado,1
8125,478,148,1,1,0,HP,JC,Sin tipo asignado,0
8125,478,148,2,1,1,HP,JC,Sin tipo asignado,0
8011,478,148,1,1,1,HMF,JC,Sin tipo asignado,0
8013,478,148,1,1,1,HMF,JC,Sin tipo asignado,0
9241,478,148,1,1,1,,JC,Sin tipo asignado,0
9241,478,148,2,2,1,,JC,Sin tipo asignado,1
7103,478,148,1,1,0,MF,JC,Sin tipo asignado,0
11814,478,148,1,1,0,,JC,Sin tipo asignado,1
7933,478,148,1,1,1,MF,JC,Sin tipo asignado,0
8199,478,148,1,1,0,HP,MCO,Sin tipo asignado,1
8201,478,148,2,2,0,HP,MCO,Sin tipo asignado,2
8129,478,148,1,1,1,HP,MCO,Sin tipo asignado,0
8131,478,148,2,1,0,HP,MCO,Sin tipo asignado,0
8133,478,148,1,1,0,HP,MCO,Sin tipo asignado,0
8133,478,148,2,1,1,HP,MCO,Sin tipo asignado,0
8135,478,148,2,1,1,HP,MCO,Sin tipo asignado,0
8137,478,148,1,1,1,HP,MCO,Sin tipo asignado,0
8023,478,148,1,1,0,HMF,MCO,Sin tipo asignado,1
8023,478,148,2,2,1,HMF,MCO,Sin tipo asignado,0
8109,478,148,2,3,0,HMF,MCO,Sin tipo asignado,3
8203,478,148,1,1,0,HP,MCP,Sin tipo asignado,1
8141,478,148,1,1,0,HP,MCP,Sin tipo asignado,1
7493,478,148,2,1,0,MF,MCP,Sin tipo asignado,0
7505,478,148,1,1,0,MF,MCP,Sin tipo asignado,1
8026,478,148,1,1,1,HMF,MN,Sin tipo asignado,0
8072,478,148,2,1,1,HMF,MN,Sin tipo asignado,0
7613,478,148,3,1,1,MF,MN,Sin tipo asignado,0
11091,478,148,2,1,1,,MS,Sin tipo asignado,0
8028,478,148,1,1,1,HMF,MS,Sin tipo asignado,0
8029,478,148,2,1,1,HMF,MS,Sin tipo asignado,0
7676,478,148,2,1,0,MF,MS,Sin tipo asignado,1
7678,478,148,1,1,0,MF,MS,Sin tipo asignado,1
8030,478,148,2,1,0,HMF,NT,Sin tipo asignado,1
8169,478,148,2,2,2,HP,NL,Sin tipo asignado,0
8170,478,148,1,1,1,HP,NL,Sin tipo asignado,0
8170,478,148,2,1,0,HP,NL,Sin tipo asignado,1
8032,478,148,1,1,0,HMF,NL,Sin tipo asignado,0
8089,478,148,1,1,1,HMF,NL,Sin tipo asignado,0
7804,478,148,1,1,0,MF,NL,Sin tipo asignado,1
10773,478,148,1,1,0,,OC,Sin tipo asignado,1
8117,478,148,1,1,1,HUMAA,OC,Sin tipo asignado,0
8095,478,148,1,2,2,HMF,OC,Sin tipo asignado,0
10745,478,149,2,1,0,,OC,Sin tipo asignado,1
7891,478,148,3,1,1,MF,PL,Sin tipo asignado,0
7235,478,148,1,1,1,MF,PL,Sin tipo asignado,0
7243,478,148,1,1,1,MF,PL,Sin tipo asignado,0
7893,478,148,2,1,0,MF,PL,Sin tipo asignado,1
7265,478,148,2,1,1,MF,PL,Sin tipo asignado,0
7279,478,148,1,1,0,MF,PL,Sin tipo asignado,1
7909,478,148,1,1,1,MF,PL,Sin tipo asignado,0
7909,478,148,2,1,0,MF,PL,Sin tipo asignado,1
10294,478,148,1,1,1,,PL,Sin tipo asignado,0
7645,478,148,3,1,1,MF,QT,Sin tipo asignado,0
7648,478,148,3,2,2,MF,QT,Sin tipo asignado,0
7649,478,148,3,1,1,MF,QT,Sin tipo asignado,0
7650,478,148,3,1,1,MF,QT,Sin tipo asignado,0
7687,478,148,3,1,0,MF,QR,Sin tipo asignado,0
8185,478,148,2,1,1,HP,SL,Sin tipo asignado,0
8048,478,148,1,2,2,HMF,SL,Sin tipo asignado,0
8048,478,148,2,1,1,HMF,SL,Sin tipo asignado,0
8062,478,148,1,1,1,HMF,SL,Sin tipo asignado,0
8318,478,148,1,1,0,,SR,Sin tipo asignado,0
8122,478,148,1,1,0,HP,SR,Sin tipo asignado,1
8128,478,148,1,1,0,HP,SR,Sin tipo asignado,0
8124,478,148,1,4,2,HP,SR,Sin tipo asignado,1
8002,478,148,1,3,0,HMF,SR,Sin tipo asignado,1
8002,478,148,2,1,0,HMF,SR,Sin tipo asignado,1
7488,478,148,2,1,0,MF,SR,Sin tipo asignado,1
6972,478,148,2,1,0,MF,SR,Sin tipo asignado,1
8116,478,148,2,1,1,HUMAA,TS,Sin tipo asignado,0
8010,478,148,1,1,0,HMF,TS,Sin tipo asignado,1
8010,478,148,2,1,1,HMF,TS,Sin tipo asignado,0
7478,478,148,2,1,0,MF,TS,Sin tipo asignado,1
8020,478,148,1,2,0,HMF,TL,Sin tipo asignado,2
7006,478,148,1,1,1,MF,TL,Sin tipo asignado,0
7004,478,148,1,1,1,MF,TL,Sin tipo asignado,0
8152,478,148,2,1,1,HP,VZN,Sin tipo asignado,0
8018,478,148,1,2,0,HMF,VZN,Sin tipo asignado,2
8018,478,148,2,1,0,HMF,VZN,Sin tipo asignado,1
7412,478,148,2,1,1,MF,VZN,Sin tipo asignado,0
7134,478,148,1,1,0,MF,VZN,Sin tipo asignado,1
7260,478,148,2,1,1,MF,VZN,Sin tipo asignado,0
6882,478,148,2,1,1,MF,VZN,Sin tipo asignado,0
7010,478,148,1,1,0,MF,VZN,Sin tipo asignado,1
8000,478,148,1,1,1,HMF,VZS,Sin tipo asignado,0
9154,478,148,1,1,1,,VZS,Sin tipo asignado,0
9571,478,148,1,1,0,,YN,Sin tipo asignado,1
8144,478,148,1,4,2,HP,ZS,Sin tipo asignado,1
8114,478,148,1,1,0,HUMAA,ZS,Sin tipo asignado,0
8118,478,148,2,2,0,HP,DFN,Sin tipo asignado,1
9958,478,148,1,2,0,,DFN,Sin tipo asignado,1
8184,478,148,2,2,0,HP,DFN,Sin tipo asignado,1
7104,478,148,1,4,4,MF,DFN,Sin tipo asignado,0
7104,478,148,2,2,0,MF,DFN,Sin tipo asignado,0
8014,478,148,2,6,0,HMF,DFS,Sin tipo asignado,1
7170,478,148,1,2,0,MF,DFS,Sin tipo asignado,1
7170,478,148,2,2,0,MF,DFS,Sin tipo asignado,0
8165,519,148,2,1,1,HP,CM,Sin tipo asignado,0
8208,519,148,1,2,2,HP,GR,Sin tipo asignado,0
8208,519,148,2,2,2,HP,GR,Sin tipo asignado,0
8038,519,148,1,1,1,HMF,GR,Sin tipo asignado,0
8038,519,148,2,1,1,HMF,GR,Sin tipo asignado,0
7871,519,148,1,1,1,MF,GR,Sin tipo asignado,0
12387,519,148,2,1,0,,GR,Sin tipo asignado,0
8042,519,148,1,1,0,HMF,HG,Sin tipo asignado,1
8044,519,148,2,2,0,HMF,HG,Sin tipo asignado,2
7876,519,148,1,1,0,MF,HG,Sin tipo asignado,1
7880,519,148,1,1,1,MF,HG,Sin tipo asignado,0
7885,519,148,2,1,0,MF,HG,Sin tipo asignado,1
8193,519,148,1,2,1,HP,JC,Sin tipo asignado,1
8187,519,148,2,4,3,HP,JC,Sin tipo asignado,0
8189,519,148,1,2,1,HP,JC,Sin tipo asignado,0
8189,519,148,2,1,1,HP,JC,Sin tipo asignado,0
8191,519,148,1,1,0,HP,JC,Sin tipo asignado,1
8191,519,148,2,3,1,HP,JC,Sin tipo asignado,1
8113,519,148,1,1,1,HUMAA,JC,Sin tipo asignado,0
8113,519,148,2,1,0,HUMAA,JC,Sin tipo asignado,1
8125,519,148,3,1,0,HP,JC,Sin tipo asignado,0
8007,519,148,1,1,0,HMF,JC,Sin tipo asignado,1
8007,519,148,2,1,0,HMF,JC,Sin tipo asignado,0
8009,519,148,1,3,1,HMF,JC,Sin tipo asignado,2
8011,519,148,1,3,3,HMF,JC,Sin tipo asignado,0
8011,519,148,2,1,1,HMF,JC,Sin tipo asignado,0
8013,519,148,1,1,1,HMF,JC,Sin tipo asignado,0
8068,519,148,1,3,1,HMF,JC,Sin tipo asignado,2
8068,519,148,2,2,1,HMF,JC,Sin tipo asignado,0
7011,519,148,1,1,1,MF,JC,Sin tipo asignado,0
7027,519,148,2,1,0,MF,JC,Sin tipo asignado,1
7037,519,148,1,1,0,MF,JC,Sin tipo asignado,0
7117,519,148,1,1,1,MF,JC,Sin tipo asignado,0
7289,519,148,2,1,1,MF,JC,Sin tipo asignado,0
7927,519,148,1,1,0,MF,JC,Sin tipo asignado,1
8199,519,148,1,2,0,HP,MCO,Sin tipo asignado,1
8199,519,148,2,3,2,HP,MCO,Sin tipo asignado,1
8200,519,148,1,3,0,HP,MCO,Sin tipo asignado,2
8200,519,148,2,2,0,HP,MCO,Sin tipo asignado,2
8201,519,148,1,1,0,HP,MCO,Sin tipo asignado,1
8201,519,148,2,2,0,HP,MCO,Sin tipo asignado,1
8129,519,148,2,1,1,HP,MCO,Sin tipo asignado,0
8131,519,148,1,2,2,HP,MCO,Sin tipo asignado,0
8131,519,148,2,1,1,HP,MCO,Sin tipo asignado,0
8133,519,148,2,2,1,HP,MCO,Sin tipo asignado,1
8135,519,148,1,2,0,HP,MCO,Sin tipo asignado,1
8135,519,148,2,2,1,HP,MCO,Sin tipo asignado,1
8137,519,148,2,4,2,HP,MCO,Sin tipo asignado,0
8139,519,148,1,2,0,HP,MCO,Sin tipo asignado,2
8139,519,148,2,3,2,HP,MCO,Sin tipo asignado,1
8023,519,148,2,2,0,HMF,MCO,Sin tipo asignado,2
8109,519,148,1,1,0,HMF,MCO,Sin tipo asignado,1
8109,519,148,2,3,0,HMF,MCO,Sin tipo asignado,3
7503,519,148,2,1,0,MF,MCP,Sin tipo asignado,1
8147,519,148,2,5,2,HP,MN,Sin tipo asignado,3
8149,519,148,2,1,0,HP,MN,Sin tipo asignado,0
8025,519,148,1,1,0,HMF,MN,Sin tipo asignado,0
8025,519,148,2,3,0,HMF,MN,Sin tipo asignado,0
8026,519,148,1,6,5,HMF,MN,Sin tipo asignado,0
8026,519,148,2,2,0,HMF,MN,Sin tipo asignado,0
8026,519,148,3,1,0,HMF,MN,Sin tipo asignado,0
8072,519,148,1,3,2,HMF,MN,Sin tipo asignado,0
8072,519,148,2,1,1,HMF,MN,Sin tipo asignado,0
8076,519,148,1,1,0,HMF,MN,Sin tipo asignado,1
7547,519,148,2,1,0,MF,MN,Sin tipo asignado,0
7553,519,148,2,1,0,MF,MN,Sin tipo asignado,1
7555,519,148,1,2,0,MF,MN,Sin tipo asignado,2
7555,519,148,2,1,1,MF,MN,Sin tipo asignado,0
7579,519,148,2,1,0,MF,MN,Sin tipo asignado,0
7597,519,148,2,1,1,MF,MN,Sin tipo asignado,0
7996,519,148,1,1,0,MF,MN,Sin tipo asignado,0
7996,519,148,2,4,1,MF,MN,Sin tipo asignado,2
7601,519,148,1,2,1,MF,MN,Sin tipo asignado,1
