id_unidad_instituto,id_implementacion,id_categoria,id_sexo,cantidad_alumnos_inscritos,cantidad_alumnos_certificados,grupo_tipo_unidad,grupo_delegacion,tipo_curso,cantidad_no_accesos
7435,385,146,1,1,1,MF,AS,Formación,0
7435,385,146,2,2,2,MF,AS,Formación,0
7055,385,146,2,1,0,MF,BC,Formación,0
7439,385,146,2,1,1,MF,BC,Formación,0
7621,385,146,2,1,1,MF,BC,Formación,0
8021,385,153,1,1,0,HMF,CC,Formación,1
8022,385,158,2,1,0,HMF,CC,Formación,1
8022,385,165,2,1,0,HMF,CC,Formación,1
8165,385,153,2,1,1,HP,CM,Formación,0
8166,385,165,2,1,0,HP,CM,Formación,0
7778,385,146,2,3,3,MF,CM,Formación,0
8175,385,153,1,1,1,HP,CS,Formación,0
9742,385,165,1,1,0,,CH,Formación,0
8197,385,165,2,1,0,HP,CH,Formación,1
8211,385,180,2,1,0,HP,CH,Formación,1
8211,385,178,2,1,0,HP,CH,Formación,0
7667,385,146,2,1,0,MF,DG,Formación,0
8242,385,164,2,1,1,UMAE,GT,Formación,0
8215,385,146,1,1,0,HP,GT,Formación,0
7846,385,146,1,1,0,MF,GT,Formación,0
7857,385,164,2,1,0,MF,GT,Formación,0
8098,385,153,2,1,0,HMF,GR,Formación,0
7862,385,146,2,2,0,MF,GR,Formación,0
7862,385,164,2,1,1,MF,GR,Formación,0
8177,385,171,2,1,0,HP,HG,Formación,0
8042,385,146,2,2,2,HMF,HG,Formación,0
6987,385,146,2,1,1,MF,JC,Formación,0
7985,385,148,1,1,1,MF,JC,Formación,0
7289,385,146,1,1,0,MF,JC,Formación,0
11756,385,164,2,1,1,,MCO,Formación,0
8199,385,153,1,1,1,HP,MCO,Formación,0
7401,385,146,1,1,0,MF,MCO,Formación,0
7991,385,146,2,1,1,MF,MCO,Formación,0
7993,385,146,2,1,0,MF,MCO,Formación,0
8203,385,176,2,1,0,HP,MCP,Formación,0
8203,385,153,1,1,0,HP,MCP,Formación,0
8203,385,146,2,1,1,HP,MCP,Formación,0
8204,385,176,2,1,0,HP,MCP,Formación,0
8141,385,207,2,1,0,HP,MCP,Formación,0
8141,385,164,2,1,0,HP,MCP,Formación,0
8222,385,165,2,1,0,HP,MCP,Formación,0
7505,385,146,2,1,0,MF,MCP,Formación,0
7507,385,146,1,1,0,MF,MCP,Formación,0
7519,385,146,2,1,1,MF,MCP,Formación,0
7521,385,146,1,1,0,MF,MCP,Formación,1
8213,385,171,2,1,1,HP,MN,Formación,0
